split	genre	dataset	year	sid	score	sentence1	sentence2
train	main-captions	MSRvid	2012test	0001	5.000	طائرة تقلع.	طائرة جوية تقلع.
train	main-captions	MSRvid	2012test	0004	3.800	رجل يعزف على مزمار كبير.	رجل يعزف على الناي.
train	main-captions	MSRvid	2012test	0005	3.800	رجل يدهن الجبن المبشور على البيتزا.	رجل يدهن الجبن المبشور على بيتزا غير مطبوخة.
train	main-captions	MSRvid	2012test	0006	2.600	ثلاثة رجال يلعبون الشطرنج.	رجلان يلعبان الشطرنج.
train	main-captions	MSRvid	2012test	0009	4.250	رجل يعزف على التشيلو.	رجل جالس يعزف على آلة التشيلو.
train	main-captions	MSRvid	2012test	0011	4.250	بعض الرجال يتقاتلون.	رجلان يتقاتلان.
train	main-captions	MSRvid	2012test	0012	0.500	رجل يدخن.	رجل يتزلج.
train	main-captions	MSRvid	2012test	0013	1.600	الرجل يعزف على البيانو.	الرجل يعزف على الجيتار.
train	main-captions	MSRvid	2012test	0014	2.200	رجل يعزف على الجيتار ويغني.	امرأة تعزف على الجيتار وتغني.
train	main-captions	MSRvid	2012test	0016	5.000	شخص يرمي قطة إلى السقف.	شخص يرمي قطة على السقف.
train	main-captions	MSRvid	2012test	0017	4.200	ضرب الرجل الرجل الآخر بالعصا.	ضرب الرجل الرجل الآخر بالعصا.
train	main-captions	MSRvid	2012test	0018	4.600	امرأة تلتقط وتحمل طفل الكنغر.	امرأة تلتقط وتحمل طفل الكنغر بين ذراعيها.
train	main-captions	MSRvid	2012test	0019	3.867	رجل يعزف على الناي.	رجل يعزف على مزمار الخيزران.
train	main-captions	MSRvid	2012test	0020	4.667	يقوم الشخص بطي قطعة من الورق.	شخص ما يطوي قطعة من الورق.
train	main-captions	MSRvid	2012test	0021	1.667	رجل يركض على الطريق.	كلب الباندا يركض على الطريق.
train	main-captions	MSRvid	2012test	0022	3.750	كلب يحاول إزالة لحم الخنزير المقدد من ظهره.	كلب يحاول أكل لحم الخنزير المقدد على ظهره.
train	main-captions	MSRvid	2012test	0025	5.000	الدب القطبي ينزلق على الثلج.	الدب القطبي ينزلق عبر الثلج.
train	main-captions	MSRvid	2012test	0026	0.500	امرأة تكتب.	امرأة تسبح.
train	main-captions	MSRvid	2012test	0028	3.800	قطة تفرك على وجه الطفل.	قطة تحتك بطفل.
train	main-captions	MSRvid	2012test	0029	5.000	الرجل يركب حصانا.	رجل يركب حصانا.
train	main-captions	MSRvid	2012test	0030	3.200	رجل يصب الزيت في وعاء.	رجل يصب النبيذ في وعاء.
train	main-captions	MSRvid	2012test	0031	2.800	رجل يعزف على الجيتار.	فتاة تعزف على الجيتار.
train	main-captions	MSRvid	2012test	0032	4.600	الباندا تنزلق إلى أسفل الشريحة.	الباندا تنزلق إلى أسفل الشريحة.
train	main-captions	MSRvid	2012test	0034	3.000	امرأة تأكل شيئا.	امرأة تأكل اللحم.
train	main-captions	MSRvid	2012test	0035	5.000	امرأة تقشر البطاطس.	امرأة تقشر البطاطس.
train	main-captions	MSRvid	2012test	0038	4.800	سقط الصبي من دراجته.	صبي يسقط من دراجته.
